NDP01	HNZ	HNN	HNE	100	1092.267077	1092.267077	1092.267077
NDP02	HNZ	HNN	HNE	100	1092.267077	1092.267077	1092.267077
NDP03	HNZ	HNN	HNE	100	1092.267077	1092.267077	1092.267077
NDP04	HNZ	HNN	HNE	100	1092.267077	1092.267077	1092.267077
NDP05	HNZ	HNN	HNE	100	1092.267077	1092.267077	1092.267077
NGBBJ	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NGTBJ	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NJB01	HNZ	HNN	HNE	100	1092.267077	1092.267077	1092.267077
NJB02	HNZ	HNN	HNE	100	1092.267077	1092.267077	1092.267077
NJB03	HNZ	HNN	HNE	100	1092.267077	1092.267077	1092.267077
NJB04	HNZ	HNN	HNE	100	1092.267077	1092.267077	1092.267077
NJP01	HNZ	HNN	HNE	100	1092.267077	1092.267077	1092.267077
NJP02	HNZ	HNN	HNE	100	1092.267077	1092.267077	1092.267077
NJP03	HNZ	HNN	HNE	100	1092.267077	1092.267077	1092.267077
NJP04	HNZ	HNN	HNE	100	1092.267077	1092.267077	1092.267077
NJP05	HNZ	HNN	HNE	100	1092.267077	1092.267077	1092.267077
NJP06	HNZ	HNN	HNE	100	1092.267077	1092.267077	1092.267077
NJP07	HNZ	HNN	HNE	100	1092.267077	1092.267077	1092.267077
NJP99	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NJP99	HXZ	HXN	HXE	100	1671.8	1671.8	1671.8
NJS01	HNZ	HNN	HNE	100	1092.267077	1092.267077	1092.267077
NJS02	HNZ	HNN	HNE	100	1092.267077	1092.267077	1092.267077
NJS03	HNZ	HNN	HNE	100	1092.267077	1092.267077	1092.267077
NJS04	HNZ	HNN	HNE	100	1092.267077	1092.267077	1092.267077
NJS05	HNZ	HNN	HNE	100	1092.267077	1092.267077	1092.267077
NJS06	HNZ	HNN	HNE	100	1092.267077	1092.267077	1092.267077
NJS07	HNZ	HNN	HNE	100	1092.267077	1092.267077	1092.267077
NJS08	HNZ	HNN	HNE	100	1092.267077	1092.267077	1092.267077
NJS09	HNZ	HNN	HNE	100	1092.267077	1092.267077	1092.267077
NJS10	HNZ	HNN	HNE	100	1092.267077	1092.267077	1092.267077
NJS11	HNZ	HNN	HNE	100	1092.267077	1092.267077	1092.267077
NJT01	HNZ	HNN	HNE	100	1092.267077	1092.267077	1092.267077
NJT02	HNZ	HNN	HNE	100	1092.267077	1092.267077	1092.267077
NJT03	HNZ	HNN	HNE	100	1092.267077	1092.267077	1092.267077
NJT04	HNZ	HNN	HNE	100	1092.267077	1092.267077	1092.267077
NJT05	HNZ	HNN	HNE	100	1092.267077	1092.267077	1092.267077
NJT06	HNZ	HNN	HNE	100	1092.267077	1092.267077	1092.267077
NJT07	HNZ	HNN	HNE	100	1092.267077	1092.267077	1092.267077
NJT08	HNZ	HNN	HNE	100	1092.267077	1092.267077	1092.267077
NJT09	HNZ	HNN	HNE	100	1092.267077	1092.267077	1092.267077
NJT10	HNZ	HNN	HNE	100	1092.267077	1092.267077	1092.267077
NJT11	HNZ	HNN	HNE	100	1092.267077	1092.267077	1092.267077
NJU01	HNZ	HNN	HNE	100	1092.267077	1092.267077	1092.267077
NJU02	HNZ	HNN	HNE	100	1092.267077	1092.267077	1092.267077
NJU03	HNZ	HNN	HNE	100	1092.267077	1092.267077	1092.267077
NJU04	HNZ	HNN	HNE	100	1092.267077	1092.267077	1092.267077
NJU05	HNZ	HNN	HNE	100	1092.267077	1092.267077	1092.267077
NJU06	HNZ	HNN	HNE	100	1092.267077	1092.267077	1092.267077
NJU07	HNZ	HNN	HNE	100	1092.267077	1092.267077	1092.267077
NKBBJ	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NKR01	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NKR02	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NKR03	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NKR04	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NKR05	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NKR06	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NKR07	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NKR08	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NKR09	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NLB01	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NLB02	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NLB03	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NLB04	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NLB05	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NLB06	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NLB07	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NLB08	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NLB09	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NLB10	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NLB11	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NLB12	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NLB13	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NLB14	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NLB15	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NMBBJ	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NMSBJ	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NMTBJ	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NOBBJ	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NOPBJ	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NPG01	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NPG02	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NPG03	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NPG04	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NPG05	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NPG06	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NPG07	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NPG08	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NPW01	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NPW02	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NPW03	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
NSK01	HNZ	HNN	HNE	100	1671.8	1671.8	1671.8
